Date,Close/Last,Volume,Open,High,Low
01/05/2026,$451.67,67940840,$447.99,$457.5499,$444.57
01/02/2026,$438.07,85535410,$457.80,$458.34,$435.30
12/31/2025,$449.72,49077960,$456.10,$456.55,$449.30
12/30/2025,$454.43,59238460,$461.09,$463.12,$453.83
12/29/2025,$459.64,66263030,$469.00,$469.40,$459.00
12/26/2025,$475.19,58780660,$485.23,$489.09,$473.82
12/24/2025,$485.40,41285430,$488.48,$490.90,$476.80
12/23/2025,$485.56,58223630,$489.395,$491.97,$482.84
12/22/2025,$488.73,86916070,$489.88,$498.83,$485.33
12/19/2025,$481.20,103305400,$488.12,$490.49,$474.72
12/18/2025,$483.37,95168450,$478.16,$490.86,$473.12
12/17/2025,$467.26,106490400,$488.22,$495.2799,$466.20
12/16/2025,$489.88,107608100,$472.21,$491.50,$465.83
12/15/2025,$475.31,114542200,$469.44,$481.7694,$467.66
12/12/2025,$458.96,95656750,$448.09,$463.01,$441.67
12/11/2025,$446.89,55979490,$448.945,$449.2699,$440.33
12/10/2025,$451.45,63257480,$446.065,$456.88,$443.61
12/09/2025,$445.17,62367440,$437.54,$452.39,$435.70
12/08/2025,$439.58,69165750,$447.445,$449.7463,$435.25
12/05/2025,$455.00,56427520,$453.03,$458.87,$451.66
12/04/2025,$454.53,71906490,$449.94,$454.63,$445.39
12/03/2025,$446.74,87482960,$432.10,$447.92,$431.11
12/02/2025,$429.24,69336630,$430.81,$436.80,$422.12
12/01/2025,$430.14,57463550,$425.32,$433.6599,$425.29
11/28/2025,$430.17,36252860,$426.59,$432.93,$426.20
11/26/2025,$426.58,63463000,$423.95,$426.94,$416.89
11/25/2025,$419.40,71915620,$414.42,$420.48,$405.95
11/24/2025,$417.78,96806370,$402.17,$421.72,$401.09
11/21/2025,$391.09,100460600,$402.32,$402.80,$383.76
11/20/2025,$395.23,113548800,$414.63,$428.94,$394.74
11/19/2025,$403.99,72047700,$406.18,$411.78,$398.50
11/18/2025,$401.25,80688640,$405.38,$408.90,$393.71
11/17/2025,$408.92,102214300,$398.74,$423.96,$398.74
11/14/2025,$404.35,105506700,$386.30,$412.19,$382.78
11/13/2025,$401.99,118948000,$423.13,$424.50,$396.34
11/12/2025,$430.60,58513520,$442.15,$442.329,$426.56
11/11/2025,$439.62,60533240,$439.40,$442.49,$432.36
11/10/2025,$445.23,76515910,$439.60,$449.6715,$433.36
11/07/2025,$429.52,103471500,$437.92,$439.36,$421.88
11/06/2025,$445.91,109622900,$461.96,$467.45,$435.09
11/05/2025,$462.07,85573020,$452.05,$466.3299,$440.71
11/04/2025,$444.26,87756640,$454.46,$460.22,$443.60
11/03/2025,$468.37,84595240,$455.99,$474.07,$453.80
10/31/2025,$456.56,83135790,$446.75,$458.00,$443.6855
10/30/2025,$440.10,72447940,$451.05,$455.0607,$439.61
10/29/2025,$461.51,67983540,$462.50,$465.70,$452.65
10/28/2025,$460.55,80185670,$454.775,$467.00,$451.60
10/27/2025,$452.42,105867500,$439.98,$460.16,$438.69
10/24/2025,$433.72,94727770,$446.83,$451.68,$430.17
10/23/2025,$448.98,126709800,$420.00,$449.3999,$413.90
10/22/2025,$438.97,84023460,$443.45,$445.539,$429.00
10/21/2025,$442.60,54412170,$445.755,$449.30,$442.05
10/20/2025,$447.43,63718970,$443.865,$449.80,$440.61
10/17/2025,$439.31,89331580,$425.50,$441.4558,$423.60
10/16/2025,$428.75,77189890,$434.73,$439.35,$421.3101
10/15/2025,$435.15,71558190,$434.90,$440.51,$426.3301
10/14/2025,$429.24,72669440,$426.79,$434.20,$417.86
10/13/2025,$435.90,79552790,$423.53,$436.89,$419.70
10/10/2025,$413.49,112107900,$436.54,$443.13,$411.45
10/09/2025,$435.54,69339930,$431.81,$436.35,$426.18
10/08/2025,$438.69,71192130,$437.57,$441.33,$425.23
10/07/2025,$433.09,102296100,$447.82,$452.68,$432.4501
10/06/2025,$453.25,85324880,$440.75,$453.55,$436.69
10/03/2025,$429.83,133188200,$443.285,$446.77,$416.575
10/02/2025,$436.00,137009000,$470.54,$470.75,$435.57
10/01/2025,$459.46,98122290,$443.80,$462.29,$440.75
09/30/2025,$444.72,74357960,$441.52,$445.00,$433.12
09/29/2025,$443.21,79491510,$444.35,$450.98,$439.50
09/26/2025,$440.40,101628200,$428.30,$440.47,$421.02
09/25/2025,$423.39,96746430,$435.24,$435.35,$419.08
09/24/2025,$442.79,93133570,$429.83,$444.21,$429.0301
09/23/2025,$425.85,83422690,$439.88,$440.97,$423.72
09/22/2025,$434.21,97108780,$431.11,$444.98,$429.13
09/19/2025,$426.07,93131030,$421.82,$429.47,$421.72
09/18/2025,$416.85,90454510,$428.865,$432.2199,$416.56
09/17/2025,$425.86,106133500,$415.75,$428.3121,$409.67
09/16/2025,$421.62,104285700,$414.495,$423.25,$411.43
09/15/2025,$410.04,163823700,$423.13,$425.70,$402.43
09/12/2025,$395.94,168156400,$370.94,$396.6899,$370.24
09/11/2025,$368.81,103756000,$350.17,$368.99,$347.60
09/10/2025,$347.79,72121680,$350.55,$356.33,$346.07
09/09/2025,$346.97,53815990,$348.44,$350.77,$343.82
09/08/2025,$346.40,75208290,$354.64,$358.44,$344.84
09/05/2025,$350.84,108989800,$348.00,$355.87,$344.6801
09/04/2025,$338.53,60711030,$336.15,$338.89,$331.48
09/03/2025,$334.09,88733290,$335.20,$343.33,$328.51
09/02/2025,$329.36,58391950,$328.23,$333.33,$325.60
08/29/2025,$333.87,81145660,$347.23,$348.7499,$331.70
08/28/2025,$345.98,67903220,$350.91,$353.55,$340.26
08/27/2025,$349.60,65519010,$351.94,$355.39,$349.156
08/26/2025,$351.67,76651550,$344.93,$351.90,$343.72
08/25/2025,$346.60,86670040,$338.90,$349.53,$335.03
08/22/2025,$340.01,94016350,$321.66,$340.25,$319.69
08/21/2025,$320.11,55744450,$322.08,$324.90,$318.68
08/20/2025,$323.90,77481770,$329.22,$331.37,$314.60
08/19/2025,$329.31,75956000,$335.79,$340.55,$327.85
08/18/2025,$335.16,56956550,$329.62,$336.27,$329.59
08/15/2025,$330.56,74319790,$337.655,$339.30,$327.02
08/14/2025,$335.58,75000660,$335.76,$340.4699,$330.40
08/13/2025,$339.38,67838890,$341.50,$348.98,$338.20
08/12/2025,$340.84,80690110,$345.00,$345.26,$332.94
08/11/2025,$339.03,105320200,$335.00,$346.64,$334.15
08/08/2025,$329.65,91200320,$321.43,$335.15,$320.98
08/07/2025,$322.27,66658670,$319.79,$322.40,$316.16
08/06/2025,$319.91,78523580,$307.89,$320.47,$306.9345
08/05/2025,$308.72,57961280,$308.95,$312.4499,$305.50
08/04/2025,$309.26,78683910,$309.08,$312.1186,$303.0001
08/01/2025,$302.63,89121450,$306.205,$309.31,$297.82
07/31/2025,$308.27,85270920,$319.605,$321.37,$306.10
07/30/2025,$319.04,83931940,$322.18,$324.4499,$311.6164
07/29/2025,$321.20,87358860,$325.55,$326.25,$318.25
07/28/2025,$325.59,112673800,$318.45,$330.49,$315.69
07/25/2025,$316.06,148227000,$308.74,$323.63,$308.01
07/24/2025,$305.30,156966000,$310.00,$310.15,$300.41
07/23/2025,$332.56,92553760,$330.90,$336.20,$328.67
07/22/2025,$332.11,77370370,$329.74,$335.4098,$321.55
07/21/2025,$328.49,75768800,$334.40,$338.00,$326.88
07/18/2025,$329.65,94254990,$321.66,$330.90,$321.42
07/17/2025,$319.41,73922870,$323.15,$324.34,$317.0601
07/16/2025,$321.67,97284790,$312.80,$323.50,$312.62
07/15/2025,$310.78,77556350,$319.675,$321.20,$310.50
07/14/2025,$316.90,78043430,$317.73,$322.5986,$312.67
07/11/2025,$313.51,79236440,$307.89,$314.09,$305.65
07/10/2025,$309.87,104365300,$300.05,$310.48,$300.00
07/09/2025,$295.88,75586770,$297.55,$300.15,$293.55
07/08/2025,$297.81,103246700,$297.00,$304.0499,$294.35
07/07/2025,$293.94,131177900,$291.37,$296.15,$288.7701
07/03/2025,$315.35,58042300,$317.99,$318.45,$312.76
07/02/2025,$315.65,119483700,$312.63,$316.832,$303.82
07/01/2025,$300.71,145085700,$298.46,$305.89,$293.21
06/30/2025,$317.66,76695080,$319.90,$325.5799,$316.60
06/27/2025,$323.63,89067050,$324.51,$329.3393,$317.495
06/26/2025,$325.78,80440910,$324.61,$331.05,$323.61
06/25/2025,$327.55,119845100,$342.70,$343.00,$320.40
06/24/2025,$340.47,114736200,$356.17,$356.26,$340.44
06/23/2025,$348.68,190716800,$327.54,$357.54,$327.48
06/20/2025,$322.16,108688000,$327.95,$332.36,$317.78
06/18/2025,$322.05,95137690,$317.31,$329.32,$315.45
06/17/2025,$316.35,88282670,$326.09,$327.26,$314.74
06/16/2025,$329.13,83925860,$331.29,$332.05,$326.41
06/13/2025,$325.31,128964300,$313.97,$332.99,$313.30
06/12/2025,$319.11,105127500,$323.075,$332.56,$316.86
06/11/2025,$326.43,122611400,$334.395,$335.50,$322.50
06/10/2025,$326.09,151256500,$314.94,$327.83,$310.667
06/09/2025,$308.58,140908900,$285.955,$309.83,$281.85
06/06/2025,$295.14,164747700,$298.83,$305.50,$291.14
06/05/2025,$284.70,292818700,$322.49,$324.5499,$273.21
06/04/2025,$332.05,98912080,$345.095,$345.60,$327.3308
06/03/2025,$344.27,99324540,$346.595,$355.40,$343.04
06/02/2025,$342.69,81873830,$343.50,$348.02,$333.33
05/30/2025,$346.46,123474900,$355.52,$363.68,$345.29
05/29/2025,$358.43,88545670,$365.29,$367.71,$356.00
05/28/2025,$356.90,91404310,$364.84,$365.00,$355.91
05/27/2025,$362.89,120146400,$347.35,$363.79,$347.32
05/23/2025,$339.34,84654820,$337.92,$343.18,$333.21
05/22/2025,$341.04,97113420,$331.90,$347.27,$331.39
05/21/2025,$334.62,102354800,$344.43,$347.35,$332.20
05/20/2025,$343.82,131715500,$347.87,$354.9899,$341.63
05/19/2025,$342.09,88869850,$336.30,$343.00,$333.37
05/16/2025,$349.98,95895670,$346.24,$351.62,$342.33
05/15/2025,$342.82,97882600,$340.34,$346.1393,$334.7153
05/14/2025,$347.68,136997300,$342.50,$350.00,$337.00
05/13/2025,$334.07,136992600,$320.00,$337.5894,$316.80
05/12/2025,$318.38,112826700,$321.99,$322.21,$311.50
05/09/2025,$298.26,132387800,$290.21,$307.04,$290.00
05/08/2025,$284.82,97539450,$279.63,$289.80,$279.41
05/07/2025,$276.22,71882410,$276.88,$277.92,$271.00
05/06/2025,$275.35,76715790,$273.105,$277.73,$271.35
05/05/2025,$280.26,94618880,$284.57,$284.849,$274.40
05/02/2025,$287.21,114454700,$284.90,$294.78,$279.81
05/01/2025,$280.52,99658970,$280.01,$290.8688,$279.81
04/30/2025,$282.16,128961100,$279.90,$284.45,$270.78
04/29/2025,$292.03,108906600,$285.50,$293.32,$279.4695
04/28/2025,$285.88,151731800,$288.98,$294.86,$272.42
04/25/2025,$284.95,167560700,$261.69,$286.85,$259.63
04/24/2025,$259.51,94464200,$250.50,$259.54,$249.20
04/23/2025,$250.74,150381900,$254.86,$259.4499,$244.43
04/22/2025,$237.97,120858500,$230.96,$242.79,$229.8501
04/21/2025,$227.50,97768010,$230.26,$232.21,$222.79
04/17/2025,$241.37,83404780,$243.47,$244.34,$237.6833
04/16/2025,$241.55,112378700,$247.61,$251.97,$233.89
04/15/2025,$254.11,79594320,$249.91,$258.75,$247.54
04/14/2025,$252.35,100135200,$258.36,$261.80,$245.93
04/11/2025,$252.31,128948100,$251.84,$257.74,$241.3629
04/10/2025,$252.40,181722600,$260.00,$262.49,$239.33
04/09/2025,$272.20,219433400,$224.69,$274.69,$223.88
04/08/2025,$221.86,171603500,$245.00,$250.44,$217.80
04/07/2025,$233.29,183453800,$223.78,$252.00,$214.25
04/04/2025,$239.43,181229400,$255.38,$261.00,$236.00
04/03/2025,$267.28,136174300,$265.29,$276.30,$261.51
04/02/2025,$282.76,212787800,$254.60,$284.99,$251.27
04/01/2025,$268.46,146486900,$263.80,$277.45,$259.25
03/31/2025,$259.16,134008900,$249.31,$260.56,$243.3601
03/28/2025,$263.55,123809400,$275.575,$276.10,$260.57
03/27/2025,$273.13,162572100,$272.48,$291.85,$271.8216
03/26/2025,$272.06,156254400,$282.66,$284.90,$266.51
03/25/2025,$288.14,150361500,$283.60,$288.20,$271.28
03/24/2025,$278.39,169079900,$258.075,$278.64,$256.33
03/21/2025,$248.71,132728700,$234.985,$249.52,$234.55
03/20/2025,$236.26,99028270,$233.345,$238.00,$230.0501
03/19/2025,$235.86,111993800,$231.61,$241.41,$229.201
03/18/2025,$225.31,111477600,$228.155,$230.10,$222.28
03/17/2025,$238.01,111900600,$245.055,$245.40,$232.80
03/14/2025,$249.98,100242300,$247.31,$251.58,$240.73
